timestamp,accX,accY,accZ,motion
1350,-0.421380,-5.242105,11.881226,horizontal
1360,-0.125696,-6.290765,12.722788,horizontal
1370,0.217872,-7.204153,13.533225,horizontal
1380,0.512359,-7.977480,14.190434,horizontal
1390,0.664391,-8.465898,14.656106,horizontal
1400,0.630872,-8.708909,14.902708,horizontal
1410,0.454898,-8.717288,14.951790,horizontal
1420,0.265756,-8.402451,14.919468,horizontal
1430,0.125696,-7.738060,14.689625,horizontal
1440,0.046687,-6.956353,14.046782,horizontal
1450,0.035913,-6.259640,13.141773,horizontal
1460,0.088585,-5.647922,12.231977,horizontal
1470,0.178368,-5.202600,11.392809,horizontal
1480,0.287304,-5.002685,10.566810,horizontal
1490,0.404620,-4.849455,9.843760,horizontal
1500,0.521936,-4.449624,9.454702,horizontal
1510,0.627281,-3.839103,9.451111,horizontal
1520,0.694318,-3.345897,9.520543,horizontal
1530,0.697910,-3.027468,9.418790,horizontal
1540,0.606930,-2.653973,9.176975,horizontal
1550,0.424971,-2.147599,8.876503,horizontal
1560,0.156820,-1.632846,8.719683,horizontal
1570,-0.198719,-1.168370,8.742428,horizontal
1580,-0.545878,-0.561440,8.905233,horizontal
1590,-0.775721,0.337582,9.357738,horizontal
1600,-0.926556,1.283292,9.779117,horizontal
1610,-0.967257,1.902193,9.819818,horizontal
1620,-0.902614,2.076970,9.665392,horizontal
1630,-1.012747,2.043451,9.311050,horizontal
1640,-1.337162,2.303222,8.866926,horizontal
1650,-1.578976,3.247735,8.777143,horizontal
1660,-1.638831,4.507085,9.238028,horizontal
1670,-1.752556,5.412093,9.398438,horizontal
1680,-2.019509,6.160281,8.966286,horizontal
1690,-2.135628,6.930017,8.707711,horizontal
1700,-1.962048,7.422025,8.647857,horizontal
1710,-1.717840,7.809886,8.297106,horizontal
1720,-1.559822,8.292317,7.414843,horizontal
1730,-1.458069,8.523358,6.551733,horizontal
1740,-1.347936,8.585608,6.234501,horizontal
1750,-1.204283,8.693346,6.372168,horizontal
1760,-1.051055,8.757990,6.690597,horizontal
1770,-0.930147,8.719683,6.937200,horizontal
1780,-0.831985,8.628703,7.031770,horizontal
1790,-0.741005,8.698134,6.941988,horizontal
1800,-0.642843,8.768764,6.694188,horizontal
1810,-0.515950,8.578424,6.441600,horizontal
1820,-0.323217,8.282741,6.242881,horizontal
1830,-0.116119,8.134300,6.046556,horizontal
1840,0.057461,8.045714,5.917270,horizontal
1850,0.187945,7.817069,5.963956,horizontal
1860,0.253785,7.356185,6.167464,horizontal
1870,0.258574,6.642713,6.470330,horizontal
1880,0.234632,5.862203,6.938396,horizontal
1890,0.229843,5.342661,7.566875,horizontal
1900,0.209493,5.214571,8.116343,horizontal
1910,0.080206,5.267244,8.403648,horizontal
1920,-0.171185,5.324705,8.464700,horizontal
1930,-0.500388,5.469554,8.450335,horizontal
1940,-0.893037,5.823895,8.380903,horizontal
1950,-1.306037,6.490681,8.164227,horizontal
1960,-1.833959,8.158242,7.809886,horizontal
1970,-1.877054,8.609550,7.681796,horizontal
1980,-1.806425,8.401254,7.435194,horizontal
1990,-1.752556,7.513005,7.095217,horizontal
2000,-1.781286,6.354211,6.912060,horizontal
2010,-1.859098,5.388151,7.037756,horizontal
2020,-1.971625,4.797980,7.246051,horizontal
2030,-2.076970,4.680665,7.320271,horizontal
2040,-2.135628,5.054160,7.159860,horizontal
2050,-2.045845,5.462371,7.120356,horizontal
2060,-1.729811,5.000290,7.715315,horizontal
2070,-1.284489,3.179500,8.702923,horizontal
2080,-0.861913,0.651223,9.628283,horizontal
2090,-0.537498,-1.509544,10.352529,horizontal
2100,-0.299275,-2.936488,10.680533,horizontal
2110,-0.167594,-3.446453,10.627861,horizontal
2120,-0.140061,-2.709039,10.742783,horizontal
2130,-0.154426,-1.418565,11.304223,horizontal
2140,-0.129287,-0.854730,11.911154,horizontal
2150,0.001197,-1.551443,12.257115,horizontal
2160,0.226252,-2.958036,12.463017,horizontal
2170,0.476446,-4.387374,12.723985,horizontal
2180,0.696713,-5.629965,12.841301,horizontal
2190,0.826000,-6.349423,12.574347,horizontal
2200,0.810437,-6.359000,12.083536,horizontal
2210,0.676362,-5.823895,11.548432,horizontal
2220,0.493206,-5.127183,11.077971,horizontal
2230,0.283713,-4.669890,10.753557,horizontal
2240,0.068235,-4.380192,10.540473,horizontal
2250,-0.077812,-3.995923,10.541670,horizontal
2260,-0.154426,-3.660734,10.690110,horizontal
2270,-0.237026,-3.582923,10.644621,horizontal
2280,-0.331597,-3.651158,10.485406,horizontal
2290,-0.375890,-3.666720,10.520123,horizontal
2300,-0.349553,-3.602077,10.777499,horizontal
2310,-0.275333,-3.602077,11.031284,horizontal
2320,-0.137667,-3.701436,11.190498,horizontal
2330,0.064643,-3.884592,11.294646,horizontal
2340,0.250194,-4.089296,11.303026,horizontal
2350,0.367510,-4.149151,11.228806,horizontal
2360,0.415394,-4.072537,11.156980,horizontal
2370,0.386664,-3.944447,11.171345,horizontal
2380,0.275333,-3.751714,11.273099,horizontal
2390,0.138864,-3.518279,11.479000,horizontal
2400,0.041899,-3.293224,11.767501,horizontal
2410,-0.017957,-3.141193,11.994950,horizontal
2420,-0.073023,-3.043030,12.050017,horizontal
2430,-0.128090,-2.832341,11.868058,horizontal
2440,-0.166397,-2.454057,11.506534,horizontal
2450,-0.173580,-2.015918,11.058818,horizontal
2460,-0.138864,-1.612495,10.629059,horizontal
2470,-0.083797,-1.383849,10.378864,horizontal
2480,-0.065841,-1.350330,10.308235,horizontal
2490,-0.110133,-1.307234,10.307038,horizontal
2500,-0.168791,-1.124078,10.341754,horizontal
2510,-0.193930,-0.708684,10.353725,horizontal
2520,-0.147243,-0.168791,10.278308,horizontal
2530,-0.021548,0.164003,10.122684,horizontal
2540,0.119710,0.289698,9.907207,horizontal
2550,0.216675,0.432153,9.629479,horizontal
2560,0.225055,0.530316,9.263166,horizontal
2570,0.141258,0.616507,8.820239,horizontal
2580,-0.016759,0.907402,8.488642,horizontal
2590,-0.211887,1.267730,8.395268,horizontal
2600,-0.395043,1.575385,8.529344,horizontal
2610,-0.524330,1.914164,8.810662,horizontal
2620,-0.572214,2.322376,9.080010,horizontal
2630,-0.549469,2.833538,9.319430,horizontal
2640,-0.497994,3.325546,9.489418,horizontal
2650,-0.482432,3.524265,9.290700,horizontal
2660,-0.586579,3.702633,8.631097,horizontal
2670,-0.803255,4.161122,8.136695,horizontal
2680,-1.065420,4.548983,8.103176,horizontal
2690,-1.316811,4.954801,8.258799,horizontal
2700,-1.496376,5.720945,8.542512,horizontal
2710,-1.577779,6.513426,8.817844,horizontal
2720,-1.435324,7.371747,8.838196,horizontal
2730,-1.273715,7.511808,8.512584,horizontal
2740,-1.189918,7.501034,7.948750,horizontal
2750,-1.199495,7.629124,7.222109,horizontal
2760,-1.210269,7.979874,6.575675,horizontal
2770,-1.158794,8.530540,6.163872,horizontal
2780,-1.033098,9.077616,5.949591,horizontal
2790,-0.834379,9.198523,5.843049,horizontal
2800,-0.614113,8.865729,5.754464,horizontal
2810,-0.432153,8.325836,5.691018,horizontal
2820,-0.260968,7.789535,5.850232,horizontal
2830,-0.051475,7.226898,6.394913,horizontal
2840,0.128090,6.476315,7.162254,horizontal
2850,0.207098,5.756858,7.909245,horizontal
2860,0.190339,5.531803,8.524555,horizontal
2870,0.081403,5.777209,8.992621,horizontal
2880,-0.108936,6.089652,9.229648,horizontal
2890,-0.311246,6.239290,9.272743,horizontal
2900,-0.452504,6.307524,9.306262,horizontal
2910,-0.565032,6.567295,9.295488,horizontal
2920,-0.642843,6.916849,9.357738,horizontal
2930,-0.605733,6.913258,9.774328,horizontal
2940,-0.452504,6.137536,10.289082,horizontal
2950,-0.288501,4.881777,10.412383,horizontal
2960,-0.198719,4.005499,10.150218,horizontal
2970,-0.165200,3.690662,9.713276,horizontal
2980,-0.168791,3.719392,9.270349,horizontal
2990,-0.241814,4.145560,8.791509,horizontal
3000,-0.409408,4.635174,8.134300,horizontal
3010,-0.642843,4.635174,7.445967,horizontal
3020,-0.849942,4.061763,7.097611,horizontal
3030,-0.961272,3.023877,7.341819,horizontal
3040,-0.960075,1.738190,8.090008,horizontal
3050,-0.866701,0.356736,8.914810,horizontal
3060,-0.805649,-0.855927,9.311050,horizontal
3070,-0.853533,-1.276109,9.162610,horizontal
3080,-0.976834,-0.585382,8.655039,horizontal
3090,-1.132457,0.596156,7.984663,horizontal
3100,-1.243788,1.265336,7.600393,horizontal
3110,-1.264138,0.810437,8.051701,horizontal
3120,-1.250970,-0.600945,9.252393,horizontal
3130,-1.230620,-2.207454,10.656591,horizontal
3140,-1.191115,-3.550601,11.869255,horizontal
3150,-1.155202,-4.472369,12.659342,horizontal
3160,-1.127669,-4.776433,13.093889,horizontal
3170,-1.066617,-4.631583,13.443442,horizontal
3180,-0.932542,-4.574122,13.758280,horizontal
3190,-0.776918,-4.850653,13.867216,horizontal
3200,-0.650026,-5.319916,13.694834,horizontal
3210,-0.580594,-5.590461,13.321339,horizontal
3220,-0.600945,-5.503073,12.764687,horizontal
3230,-0.659603,-5.280412,12.270284,horizontal
3240,-0.693121,-5.064934,12.127829,horizontal
3250,-0.695516,-4.882974,12.217611,horizontal
3260,-0.684742,-4.720169,12.215217,horizontal
3270,-0.685939,-4.462792,11.926716,horizontal
3280,-0.687136,-4.104859,11.459846,horizontal
3290,-0.656011,-3.819949,11.061212,horizontal
3300,-0.656011,-3.629610,10.771513,horizontal
3310,-0.754174,-3.415329,10.629059,horizontal
3320,-0.897826,-3.137601,10.708067,horizontal
3330,-1.018733,-2.831144,10.805033,horizontal
3340,-1.078588,-2.509123,10.777499,horizontal
3350,-1.041478,-2.199074,10.661380,horizontal
3360,-0.897826,-1.939303,10.541670,horizontal
3370,-0.724246,-1.869871,10.493786,horizontal
3380,-0.634463,-2.006341,10.524911,horizontal
3390,-0.650026,-2.220622,10.608707,horizontal
3400,-0.748188,-2.257732,10.793061,horizontal
3410,-0.848745,-1.997961,11.055226,horizontal
3420,-0.881066,-1.662773,11.202470,horizontal
3430,-0.877475,-1.334767,11.077971,horizontal
3440,-0.841562,-0.920571,10.632649,horizontal
3450,-0.769736,-0.390255,10.075998,horizontal
3460,-0.660800,0.081403,9.652225,horizontal
3470,-0.541090,0.422577,9.266758,horizontal
3480,-0.816423,1.406593,8.195353,horizontal
3490,-1.264138,2.195483,7.806294,horizontal
3500,-1.701080,3.353080,7.893683,horizontal
3510,-2.075773,4.715380,8.192958,horizontal
3520,-2.349909,5.987898,8.343793,horizontal
3530,-2.437297,6.791153,8.354567,horizontal
3540,-2.442086,7.396886,7.835025,horizontal
3550,-2.414552,7.978677,7.205350,horizontal
3560,-2.308010,8.207323,6.999449,horizontal
3570,-2.297236,8.227674,6.779182,horizontal
3580,-2.410961,8.576031,6.635530,horizontal
3590,-2.500744,9.417592,6.860585,horizontal
3600,-2.529474,10.224439,7.314286,horizontal
3610,-2.501941,10.669760,7.473501,horizontal
3620,-2.406173,10.769119,7.328651,horizontal
3630,-2.215834,10.585963,7.176620,horizontal
3640,-1.927332,10.278308,6.913258,horizontal
3650,-1.611298,10.036493,6.384139,horizontal
3660,-1.344344,9.892841,5.832275,horizontal
3670,-1.151611,9.781511,5.450400,horizontal
3680,-1.047463,9.697714,5.293580,horizontal
3690,-1.051055,9.546879,5.468357,horizontal
3700,-1.109712,9.238028,6.050148,horizontal
3710,-1.109712,8.823831,7.055712,horizontal
3720,-0.978031,8.219295,8.122330,horizontal
3730,-0.749385,7.351396,8.707711,horizontal
3740,-0.512359,6.379351,8.708909,horizontal
3750,-0.360327,5.612009,8.395268,horizontal
3760,-0.387861,5.328296,7.870938,horizontal
3770,-0.590171,5.707777,7.297527,horizontal
3780,-0.914585,6.551733,6.914454,horizontal
3790,-1.332373,7.193379,6.737284,horizontal
3800,-1.690306,7.386112,6.879739,horizontal
3810,-1.833959,7.114370,7.406463,horizontal
3820,-1.827973,6.351817,7.957129,horizontal
3830,-1.807622,5.524621,8.316259,horizontal
3840,-1.776498,4.897339,8.765172,horizontal
3850,-1.721431,4.248511,9.334992,horizontal
3860,-1.696292,3.539827,9.811439,horizontal
3870,-1.697489,2.972401,10.243592,horizontal
3880,-1.655591,2.585738,10.650606,horizontal
3890,-1.549049,2.211045,10.997766,horizontal
3900,-1.434127,1.801637,11.033679,horizontal
3910,-1.431733,1.489193,9.828198,horizontal
3920,-1.515530,0.814029,7.736863,horizontal
3930,-1.456872,-0.167594,6.767211,horizontal
3940,-1.228225,-0.349553,7.680599,horizontal
3950,-1.017536,0.284910,9.336189,horizontal
3960,-0.896629,0.365116,10.590752,horizontal
3970,-0.840365,-1.060631,11.263522,horizontal
3980,-0.785298,-3.155558,11.738770,horizontal
3990,-0.644040,-4.680665,12.309788,horizontal
4000,-0.429759,-5.396531,12.770672,horizontal
4010,-0.259771,-5.585672,12.934674,horizontal
4020,-0.208296,-5.604826,12.805387,horizontal
4030,-0.268151,-5.481525,12.495338,horizontal
4040,-0.378284,-5.164293,12.240356,horizontal
4050,-0.496797,-4.820725,12.160151,horizontal
4060,-0.629675,-4.674679,12.129025,horizontal
4070,-0.794875,-4.672285,12.085930,horizontal
4080,-0.969652,-4.475960,12.071565,horizontal
4090,-1.092953,-4.082114,12.078748,horizontal
4100,-1.142034,-3.855862,12.063186,horizontal
4110,-1.144428,-3.762488,11.918336,horizontal
4120,-1.132457,-3.573346,11.662156,horizontal
4130,-1.125275,-3.307590,11.405977,horizontal
4140,-1.109712,-2.985569,11.206061,horizontal
4150,-1.109712,-2.753332,11.008539,horizontal
4160,-1.158794,-2.651578,10.761936,horizontal
4170,-1.205481,-2.480393,10.576386,horizontal
4180,-1.192312,-2.184709,10.577583,horizontal
4190,-1.125275,-1.916559,10.674548,horizontal
4200,-1.021127,-1.829170,10.721235,horizontal
4210,-0.887052,-1.909376,10.773908,horizontal
4220,-0.766145,-2.035071,10.924743,horizontal
4230,-0.687136,-2.105700,11.088745,horizontal
4240,-0.586579,-2.317587,11.143812,horizontal
4250,-0.515950,-2.090138,10.988189,horizontal
4260,-0.418985,-1.623269,10.723629,horizontal
4270,-0.314838,-1.186327,10.378864,horizontal
4280,-0.228646,-0.931344,10.050858,horizontal
4290,-0.204704,-0.803255,9.874885,horizontal
4300,-0.245406,-0.761356,9.915586,horizontal
4310,-0.338780,-0.711078,9.975441,horizontal
4320,-0.448913,-0.330400,10.029311,horizontal
4330,-0.492008,0.301669,10.228029,horizontal
4340,-0.430956,0.926556,10.471041,horizontal
4350,-0.332794,1.437718,10.423157,horizontal
4360,-0.241814,1.762132,10.025720,horizontal
4370,-0.174777,2.007538,9.551667,horizontal
4380,-0.179565,2.443283,8.973468,horizontal
4390,-0.294487,3.207033,8.248025,horizontal
4400,-0.592565,4.067749,7.390901,horizontal
4410,-1.021127,4.553771,6.604405,horizontal
4420,-1.406593,4.747702,6.406884,horizontal
4430,-1.702277,5.445612,6.964733,horizontal
4440,-1.933318,6.661866,7.772776,horizontal
4450,-2.070984,7.633912,8.254010,horizontal
4460,-2.091335,8.068460,8.237251,horizontal
4470,-1.970428,8.204929,7.940370,horizontal
4480,-1.775301,8.244433,7.630321,horizontal
4490,-1.654393,8.179790,7.228095,horizontal
4500,-1.647211,8.350976,6.653487,horizontal
4510,-1.691504,8.880095,6.357802,horizontal
4520,-1.735796,9.314642,6.440403,horizontal
4530,-1.762132,9.533711,6.517017,horizontal
4540,-1.747767,9.756371,6.454768,horizontal
4550,-1.647211,9.962274,6.272809,horizontal
4560,-1.430536,9.917980,6.054936,horizontal
4570,-1.169568,9.497798,5.756858,horizontal
4580,-0.946907,8.831013,5.469554,horizontal
4590,-0.756568,8.202535,5.438429,horizontal
4600,-0.597353,7.830236,5.670667,horizontal
4610,-0.505177,7.639898,5.922058,horizontal
4620,-0.536301,7.292738,6.181829,horizontal
4630,-0.702698,6.757634,6.688202,horizontal
4640,-0.887052,6.359000,7.485472,horizontal
4650,-0.972046,6.333860,8.294712,horizontal
4660,-0.956484,6.443994,8.645462,horizontal
4670,-0.890643,6.223727,8.435969,horizontal
4680,-0.830788,5.865794,7.936779,horizontal
4690,-0.855927,5.802348,7.632715,horizontal
4700,-1.015141,5.565322,7.727286,horizontal
4710,-1.242591,5.136760,8.094796,horizontal
4720,-1.440112,4.953603,8.762778,horizontal
